2026-06-27 09:12:24,554 | INFO     | src.fetcher | Requesting https://example.com
2026-06-27 09:12:24,603 | DEBUG    | httpcore.connection | connect_tcp.started host='example.com' port=443 local_address=None timeout=15 socket_options=None
2026-06-27 09:12:24,628 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x1062be7b0>
2026-06-27 09:12:24,628 | DEBUG    | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x1062c5b50> server_hostname='example.com' timeout=15
2026-06-27 09:12:24,642 | DEBUG    | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x1063460d0>
2026-06-27 09:12:24,642 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2026-06-27 09:12:24,642 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-06-27 09:12:24,642 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2026-06-27 09:12:24,642 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-06-27 09:12:24,642 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2026-06-27 09:12:24,656 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Sat, 27 Jun 2026 07:12:24 GMT'), (b'Content-Type', b'text/html'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Server', b'cloudflare'), (b'last-modified', b'Sat, 20 Jun 2026 20:45:06 GMT'), (b'allow', b'GET, HEAD'), (b'Age', b'7956'), (b'cf-cache-status', b'HIT'), (b'Content-Encoding', b'gzip'), (b'CF-RAY', b'a122a4aa683eeece-WAW')])
2026-06-27 09:12:24,656 | INFO     | httpx | HTTP Request: GET https://example.com "HTTP/1.1 200 OK"
2026-06-27 09:12:24,656 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
2026-06-27 09:12:24,656 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-06-27 09:12:24,656 | DEBUG    | httpcore.http11 | response_closed.started
2026-06-27 09:12:24,656 | DEBUG    | httpcore.http11 | response_closed.complete
